District,Season ,Crop,Soil Type,Soil NPK,Soil pH,Microbial Solution,Microbial Solution Dosage,Water Requirement (mm),,
Ambala,Kharif,Rice,Clay Loam,100-50-50,6.5-7.5,Azospirillum + PSB,2 kg/acre in 20 L water,900-1200 ,,
,Rabi,Wheat,Sandy Loam,120-60-40,6.5-7.5,Azospirillum + PSB,2 kg/acre in 20 L water,450-600,,
Bhiwani,Kharif,Bajra,Sandy Loam ,90-40-40,7.5-8.5,Azospirillum + PSB,2 kg/acre mixed with 10 kg compost,500-700,,
,Rabi,Mustard,Sandy,80-40-20,7.2-8.0,Azotobacter + PSB,2 kg/acre mixed with 10 kg compost,300-400,,
Charkhi Dadri,Kharif,Bajra,Sandy Loam,90-40-40, 7.0-8.0,Azospirillum + Trichoderma,200 gm/acre seed,500-700,,
,Rabi,Mustard,Sandy Loam,80-40-20,7.0-7.8,Azospirillum + Trichoderma,200 gm/acre seed,300-400,,
Faridabad,Kharif,Maize,Loamy,120-60-40,7.0-8.0,Azospirillum + PSB,2 kg/acre in 25 L water,600-800,,
,Rabi,Wheat,Loamy,120-60-40,7.2-8.0,Azospirillum + Trichoderma,2 kg/acre in 25 L water,450-600,,
Fatehabad,Kharif,Rice,Loamy,100-50-50,7.0-8.2,Rhizobium + PSB,2 kg/acre mixed with 10 kg compost,600-800,,
,Rabi,Mustard,Loamy,80-40-20,7.0-7.5,Azospirillum + Trichoderma,2 kg/acre mixed with 10 kg compost,300-400,,
Gurugram,Kharif,Bajra,Sandy Loam,90-40-40,7.5-8.3,Azotobacter + Pseudomonas,1-2 kg/acre mixed with 15 kg FYM,500-700,,
,Rabi,Barley,Sandy Loam,60-30-30,7.5-8.3,Azotobacter + Pseudomonas,1-2 kg/acre mixed with 15 kg FYM,300-450,,
Hisar,Kharif,Bajra,Sandy Loam,90-40-40,7.0-8.2,Rhizobium + PSB,250 gm in 1 L water for 5 kg seeds,700-900,,
,Rabi,Mustard,Sandy Loam,80-40-20,7.0-7.5,Rhizobium + PSB,250 gm in 1 L water for 5 kg seeds,300-500,,
Jhajjar,Kharif,Bajra,Sandy Loam,90-40-40,7.5-8.5,Azospirillum + Pseudomonas,"1-2 kg/acre with compost
",600-800,,
,Rabi,Wheat,Sandy Loam,150-65-40,7.5-8.5,Azospirillum + Pseudomonas,"1-2 kg/acre with compost
",450-600,,
Jind,Kharif,Bajra,Loamy,90-40-40,7.0-8.0,Azospirillum + PSB,2 kg/acre in 20 L water,500-700,,
,Rabi,Wheat,Loamy,140-70-40,7.0-8.0,Azospirillum + PSB,2 kg/acre in 20 L water,350-500,,
Kaithal,Kharif,Rice,Clay Loam,100-50-50,7.5-8.3,Azotobacter + Trichoderma,200 gm/kg seed,900-1200,,
,Rabi,Wheat,Clay Loam,120-60-40,7.5-8.3,Azotobacter + Trichoderma,200 gm/kg seed,450-600,,
Karnal,Kharif,Rice,Clay Loam,100-50-50,7.0-8.0,Rhizobium + PSB,2 kg/acre mixed with 10 kg compost,900-1200,,
,Rabi,Wheat,Clay Loam,120-60-40,7.0-8.0,Rhizobium + PSB,2 kg/acre mixed with 10 kg compost,300-450,,
Kurukshetra,Kharif,Rice,Clay Loam,100-50-50,6.8-7.8,Azospirillum + PSB,2 kg/acre in 25 L water,700-900,,
,Rabi,Wheat,Clay Loam,115-60-35,6.8-7.8,Azospirillum + PSB,2 kg/acre in 25 L water,450-600,,
Mahendragarh,Kharif,Bajra,Sandy Loam,90-40-40,7.5-8.5,Azospirillum + Trichoderma,200 gm/kg seed,700-900,,
,Rabi,Mustard,Sandy Loam,80-40-20,7.0-7.8,Azotobacter + PSB,201 gm/kg seed,350-450,,
Nuh,Kharif,Bajra,Loamy,90-40-40,7.0-8.0,Azotobacter + PSB,2 kg/acre mixed with 10 kg compost,500-750,,
,Rabi,Barley,Loamy,60-30-30,7.0-8.0,Azotobacter + PSB,2 kg/acre mixed with 10 kg compost,400-650,,
Palwal,Kharif,Rice,Loamy,100-50-50,6.8-7.8,Azospirillum + PSB,2 kg/acre in 25 L water,750-900,,
,Rabi,Wheat,Loamy,120-55-35,6.8-7.8,Azospirillum + PSB,2 kg/acre in 25 L water,300-450,,
Panchkula,Kharif,Maize,Loamy,120-60-40,6.5-7.5,Rhizobium + PSB,250 gm in 1 L water for 5 kg seeds,750-900,,
,Rabi,Barely,Loamy,60-30-30,6.5-7.5,Rhizobium + PSB,250 gm in 1 L water for 5 kg seeds,350-500,,
Panipat,Kharif,Rice,Clay Loam,100-50-50,7.2-8.0,Azotobacter + Pseudomonas,1-2 kg/acre mixed with 15 kg FYM,900-1200,,
,Rabi,Wheat,Clay Loam,115-60-35,7.2-8.0,Azotobacter + Pseudomonas,1-2 kg/acre mixed with 15 kg FYM,300-450,,
Rewari,Kharif,Bajra,Sandy Loam,90-40-40,7.5-8.5,Azospirillum + PSB,2 kg/acre in 20 L water,700-950,,
,Rabi,Mustard,Sandy Loam,80-40-20,7.0-7.8,Azospirillum + PSB,2 kg/acre in 20 L water,300-450,,
Rohtak,Kharif,Bajra,Loamy,90-40-40,7.0-8.0,Azotobacter + Trichoderma,200 gm/kg seed,550-700,,
,Rabi,Wheat,Loamy,120-60-40,7.0-8.0,Azotobacter + Trichoderma,201 gm/kg seed,350-500,,
Sirsa,Kharif,Rice,Sandy Loam,100-50-50,7.5-8.5,Rhizobium + PSB,2 kg/acre mixed with 10 kg compost,750-900,,
,Rabi,Mustard,Sandy Loam,80-40-20,7.5-8.5,"Rhizobium, PSB",2 kg/acre mixed with 10 kg compost,350-500,,
Sonipat,Kharif,Rice,Loamy,100-50-50,7.2-8.0,Azospirillum + PSB,2 kg/acre in 25 L water,600-750,,
,Rabi,Wheat,Loamy,120-60-40,7.0-7.5,"Azospirillum, Phosphobacteria",2 kg/acre in 25 L water,400-550,,
Yamunanagar,Kharif,Rice,Clay Loam,100-50-50,6.5-7.2,Azotobacter + Pseudomonas,1-2 kg/acre mixed with 15 kg  FYM,900-1200,,
,Rabi,Wheat,Loamy,120-60-40,6.5-7.2,Azotobacter + Pseudomonas,1-2 kg/acre mixed with 15 kg  FYM,450-600,,
